Time (s),Velocity (m/s)
2.925,92.65306122448979
2.925,92.28571428571429
3.00625,92.28571428571429
2.925,91.91836734693878
3.00625,91.91836734693878
2.925,91.55102040816327
3.00625,91.55102040816327
3.0875,91.55102040816327
2.925,91.18367346938776
3.00625,91.18367346938776
3.0875,91.18367346938776
2.925,90.81632653061224
3.00625,90.81632653061224
3.0875,90.81632653061224
2.925,90.44897959183673
3.00625,90.44897959183673
3.0875,90.44897959183673
2.3562499999999997,88.9795918367347
2.2750000000000004,88.61224489795919
2.3562499999999997,88.61224489795919
2.4375,88.61224489795919
2.68125,88.61224489795919
2.7625,88.61224489795919
2.84375,88.61224489795919
2.925,88.61224489795919
3.16875,88.61224489795919
2.19375,88.24489795918367
2.2750000000000004,88.24489795918367
2.3562499999999997,88.24489795918367
2.4375,88.24489795918367
2.51875,88.24489795918367
2.6,88.24489795918367
2.68125,88.24489795918367
2.7625,88.24489795918367
2.84375,88.24489795918367
2.925,88.24489795918367
3.0875,88.24489795918367
3.16875,88.24489795918367
3.25,88.24489795918367
2.19375,87.87755102040816
2.2750000000000004,87.87755102040816
2.3562499999999997,87.87755102040816
2.4375,87.87755102040816
2.51875,87.87755102040816
2.6,87.87755102040816
2.68125,87.87755102040816
2.7625,87.87755102040816
3.16875,87.87755102040816
3.25,87.87755102040816
3.33125,87.87755102040816
2.19375,87.51020408163265
2.2750000000000004,87.51020408163265
2.3562499999999997,87.51020408163265
2.4375,87.51020408163265
2.51875,87.51020408163265
2.6,87.51020408163265
2.68125,87.51020408163265
3.25,87.51020408163265
3.33125,87.51020408163265
2.19375,87.14285714285714
2.2750000000000004,87.14285714285714
2.3562499999999997,87.14285714285714
2.4375,87.14285714285714
2.51875,87.14285714285714
2.6,87.14285714285714
2.68125,87.14285714285714
3.25,87.14285714285714
3.33125,87.14285714285714
2.19375,86.77551020408163
2.2750000000000004,86.77551020408163
2.3562499999999997,86.77551020408163
2.51875,86.77551020408163
2.6,86.77551020408163
3.25,86.77551020408163
3.33125,86.77551020408163
2.19375,86.40816326530611
2.2750000000000004,86.40816326530611
2.3562499999999997,86.40816326530611
3.25,86.40816326530611
3.33125,86.40816326530611
2.19375,86.04081632653062
2.2750000000000004,86.04081632653062
3.25,86.04081632653062
3.33125,86.04081632653062
2.19375,85.6734693877551
2.2750000000000004,85.6734693877551
3.25,85.6734693877551
3.33125,85.6734693877551
2.19375,85.3061224489796
2.2750000000000004,85.3061224489796
3.25,85.3061224489796
3.33125,85.3061224489796
2.19375,84.93877551020408
2.2750000000000004,84.93877551020408
3.25,84.93877551020408
3.33125,84.93877551020408
2.1125000000000003,84.57142857142857
2.19375,84.57142857142857
3.25,84.57142857142857
3.33125,84.57142857142857
2.1125000000000003,84.20408163265306
2.19375,84.20408163265306
3.25,84.20408163265306
3.33125,84.20408163265306
2.1125000000000003,83.83673469387756
2.19375,83.83673469387756
3.25,83.83673469387756
3.33125,83.83673469387756
2.1125000000000003,83.46938775510205
2.19375,83.46938775510205
3.25,83.46938775510205
3.33125,83.46938775510205
3.4125,83.46938775510205
2.1125000000000003,83.10204081632654
2.19375,83.10204081632654
3.33125,83.10204081632654
3.4125,83.10204081632654
2.03125,82.73469387755102
2.1125000000000003,82.73469387755102
3.33125,82.73469387755102
3.4125,82.73469387755102
3.49375,82.73469387755102
2.03125,82.36734693877551
2.1125000000000003,82.36734693877551
3.33125,82.36734693877551
3.4125,82.36734693877551
3.49375,82.36734693877551
2.03125,82.0
2.1125000000000003,82.0
3.33125,82.0
3.4125,82.0
3.49375,82.0
1.95,81.63265306122449
2.03125,81.63265306122449
2.1125000000000003,81.63265306122449
3.33125,81.63265306122449
3.4125,81.63265306122449
3.49375,81.63265306122449
9.424999999999999,81.63265306122449
1.95,81.26530612244898
2.03125,81.26530612244898
2.1125000000000003,81.26530612244898
3.33125,81.26530612244898
3.4125,81.26530612244898
3.49375,81.26530612244898
1.8687500000000001,80.89795918367346
1.95,80.89795918367346
2.03125,80.89795918367346
2.1125000000000003,80.89795918367346
3.33125,80.89795918367346
3.4125,80.89795918367346
3.49375,80.89795918367346
1.95,80.53061224489795
2.03125,80.53061224489795
2.1125000000000003,80.53061224489795
3.33125,80.53061224489795
3.4125,80.53061224489795
3.49375,80.53061224489795
1.95,80.16326530612244
2.03125,80.16326530612244
2.1125000000000003,80.16326530612244
3.33125,80.16326530612244
3.4125,80.16326530612244
3.49375,80.16326530612244
3.575,80.16326530612244
1.8687500000000001,79.79591836734694
1.95,79.79591836734694
2.03125,79.79591836734694
3.33125,79.79591836734694
3.4125,79.79591836734694
3.49375,79.79591836734694
3.575,79.79591836734694
1.7875,79.42857142857143
1.8687500000000001,79.42857142857143
1.95,79.42857142857143
2.03125,79.42857142857143
3.33125,79.42857142857143
3.4125,79.42857142857143
3.49375,79.42857142857143
3.575,79.42857142857143
3.65625,79.42857142857143
1.7875,79.06122448979592
1.8687500000000001,79.06122448979592
1.95,79.06122448979592
3.575,79.06122448979592
3.65625,79.06122448979592
1.7875,78.6938775510204
1.8687500000000001,78.6938775510204
1.95,78.6938775510204
3.575,78.6938775510204
3.65625,78.6938775510204
3.7375000000000003,78.6938775510204
1.7875,78.3265306122449
1.8687500000000001,78.3265306122449
1.95,78.3265306122449
3.65625,78.3265306122449
3.7375000000000003,78.3265306122449
3.8187499999999996,78.3265306122449
1.7875,77.9591836734694
1.8687500000000001,77.9591836734694
3.65625,77.9591836734694
3.7375000000000003,77.9591836734694
3.8187499999999996,77.9591836734694
1.7875,77.59183673469389
1.8687500000000001,77.59183673469389
