Time (s),Altitude (m),Velocity (m/s),Acceleration (m/s²)
16.9812500000001,1847.34693877551,-26.3673469387755,-2.26173469387755
17.0625000000001,1822.85714285714,-26.734693877551,-2.15727040816327
17.1437500000001,1822.85714285714,-24.1632653061225,-2.06772959183674
17.2250000000001,1817.95918367347,-23.4285714285714,-1.93341836734694
17.3062500000001,1813.0612244898,-18.2857142857143,-1.69464285714286
17.3875000000001,1793.4693877551,-23.4285714285714,-1.69464285714286
17.4687500000001,1759.18367346939,-23.7959183673469,-1.91849489795918
17.5500000000001,1749.38775510204,-26.3673469387755,-2.03788265306123
17.6312500000001,1739.59183673469,-26.3673469387755,-2.14234693877551
17.7125000000001,1734.69387755102,-27.8367346938775,-2.20204081632653
17.7937500000001,1720,-31.1428571428571,-2.39604591836735
17.8750000000001,1720,-34.4489795918367,-2.66466836734694
17.9562500000001,1724.89795918367,-37.7551020408163,-2.93329081632653
18.0375000000001,1734.69387755102,-42.8979591836735,-3.2765306122449
18.1187500000001,1720,-43.6326530612245,-3.51530612244898
18.2000000000001,1705.30612244898,-44.734693877551,-3.58992346938776
18.2812500000001,1690.61224489796,-45.1020408163265,-3.64961734693878
18.3625000000001,1675.91836734694,-38.1224489795918,-3.38099489795918
18.4437500000001,1661.22448979592,-31.8775510204082,-2.84375
18.5250000000001,1646.5306122449,-31.5102040816327,-2.57512755102041
18.6062500000001,1646.5306122449,-35.1836734693878,-2.7094387755102
18.6875000000001,1636.73469387755,-35.9183673469388,-2.88852040816327
18.7687500000001,1636.73469387755,-41.7959183673469,-3.15714285714286
18.8500000000001,1622.04081632653,-37.0204081632653,-3.20191326530612
18.9312500000001,1617.14285714286,-36.6530612244898,-2.99298469387755
19.0125000000001,1597.55102040816,-37.7551020408163,-3.02283163265306
19.0937500000001,1582.85714285714,-36.6530612244898,-3.02283163265306
19.1750000000001,1582.85714285714,-32.6122448979592,-2.81390306122449
19.2562500000001,1568.16326530612,-32.2448979591837,-2.63482142857143
19.3375000000001,1543.67346938776,-33.3469387755102,-2.66466836734694
19.4187500000001,1538.77551020408,-35.5510204081633,-2.79897959183674
19.5000000000001,1538.77551020408,-35.9183673469388,-2.90344387755102
19.5812500000001,1528.97959183673,-42.8979591836735,-3.20191326530612
19.6625000000001,1524.08163265306,-43.6326530612245,-3.51530612244898
19.7437500000001,1514.28571428571,-44,-3.56007653061225
19.8250000000001,1499.59183673469,-45.4693877551021,-3.63469387755102
19.9062500000001,1480,-42.530612244898,-3.575
19.9875000000001,1450.61224489796,-38.4897959183674,-3.29145408163265
20.0687500000001,1440.81632653061,-38.4897959183674,-3.12729591836735
20.1500000000001,1431.02040816327,-39.2244897959183,-3.15714285714286
20.2312500000001,1416.32653061224,-44,-3.38099489795918
20.3125000000001,1421.22448979592,-46.9387755102041,-3.69438775510204
20.3937500000001,1435.91836734694,-49.8775510204082,-3.93316326530612
20.4750000000001,1440.81632653061,-49.8775510204082,-4.05255102040816
20.5562500000001,1435.91836734694,-51.7142857142857,-4.12716836734694
20.6375000000001,1431.02040816327,-55.3877551020408,-4.35102040816327
20.7187500000001,1406.5306122449,-49.8775510204082,-4.27640306122449
20.8000000000001,1421.22448979592,-41.0612244897959,-3.69438775510204
