Time (s),Altitude (m),Velocity (m/s),Acceleration (m/s²)
-0.1625,-102.040816326531,0.0816326530612201,9.04238618524354
-0.08125,-97.1428571428573,0.816326530612258,9.04238618524354
0,-77.5510204081634,5.95918367346938,63.296703296703
0.08125,-77.5510204081634,7.79591836734693,22.6059654631083
0.1625,-33.4693877551017,21.7551020408163,171.805337519623
0.24375,-13.8775510204082,22.1224489795918,4.52119309262151
0.325,-8.97959183673493,29.1020408163265,85.9026687598117
0.40625,20.408163265306,35.7142857142857,81.3814756671902
0.4875,35.1020408163263,41.5918367346939,72.3390894819471
0.56875,59.591836734694,49.3061224489796,94.9450549450548
0.65,79.1836734693875,49.3061224489796,0
0.73125,79.1836734693875,55.1836734693878,72.3390894819471
0.8125,108.571428571428,64,108.508634222919
0.89375,133.061224489796,66.9387755102041,36.1695447409735
0.975,157.551020408163,67.6734693877551,9.0423861852432
1.05625,182.040816326531,68.0408163265306,4.52119309262151
1.1375,186.938775510204,74.2857142857143,76.8602825745687
1.21875,216.326530612245,72.8163265306122,-18.0847723704874
1.3,240.816326530612,73.1836734693878,4.52119309262274
1.38125,265.30612244898,73.9183673469388,9.04238618524302
1.4625,289.795918367347,76.1224489795918,27.1271585557292
1.54375,294.693877551021,76.4897959183674,4.52119309262291
1.625,319.183673469388,77.2244897959184,9.04238618524302
1.70625,348.571428571428,77.2244897959184,0
1.7875,368.163265306122,79.4285714285714,27.1271585557292
1.86875,402.448979591837,80.8979591836735,18.0847723704874
1.95,407.34693877551,81.6326530612245,9.04238618524302
2.03125,441.632653061224,82.734693877551,13.5635792778645
2.1125,475.918367346939,84.5714285714286,22.605965463109
2.19375,515.102040816327,88.2448979591837,45.2119309262167
2.275,534.693877551021,88.6122448979592,4.52119309262151
2.35625,539.591836734694,88.9795918367347,4.52119309262151
2.4375,564.081632653061,88.6122448979592,-4.52119309262151
2.51875,588.571428571429,88.2448979591837,-4.52119309262151
2.6,617.959183673469,88.2448979591837,0
2.68125,647.34693877551,88.6122448979592,4.52119309262151
2.7625,647.34693877551,88.6122448979592,0
2.84375,681.632653061224,88.6122448979592,0
2.925,715.918367346939,92.6530612244898,49.7331240188382
3.00625,740.408163265306,92.2857142857143,-4.52119309262151
3.0875,769.795918367347,91.5510204081633,-9.0423861852432
3.16875,774.693877551021,88.6122448979592,-36.1695447409735
3.25,789.387755102041,88.2448979591837,-4.52119309262151
3.33125,813.877551020408,87.8775510204082,-4.52119309262151
3.4125,838.367346938775,83.4693877551021,-54.2543171114597
3.49375,853.061224489796,82.734693877551,-9.04238618524442
3.575,857.959183673469,80.1632653061224,-31.648351648352
3.65625,882.448979591837,79.4285714285714,-9.04238618524302
3.7375,906.938775510204,78.6938775510204,-9.04238618524302
3.81875,921.632653061225,78.3265306122449,-4.52119309262169
3.9,951.020408163265,77.2244897959184,-13.5635792778645
3.98125,955.918367346939,74.2857142857143,-36.1695447409735
4.0625,975.510204081633,70.6122448979592,-45.2119309262167
4.14375,1004.89795918367,69.8775510204082,-9.04238618524302
4.225,1029.38775510204,69.8775510204082,0
4.30625,1048.97959183673,70.2448979591837,4.52119309262151
4.3875,1053.87755102041,71.3469387755102,13.5635792778645
4.46875,1078.36734693878,70.6122448979592,-9.04238618524302
4.55,1102.85714285714,71.7142857142857,13.5635792778645
4.63125,1127.34693877551,72.4489795918367,9.0423861852432
4.7125,1146.9387755102,72.8163265306122,4.52119309262151
4.79375,1146.9387755102,72.8163265306122,0
4.875,1176.32653061224,72.0816326530612,-9.04238618524302
4.95624999999999,1205.71428571429,73.9183673469388,22.6059654631088
5.03749999999999,1215.51020408163,73.9183673469388,0
