Time (s),Altitude (m),Velocity (m/s),Acceleration (m/s²)
-0.1625,-121.632653061225,0.0816326530612201,9.04238618524355
-0.08125,-126.530612244898,0.816326530612258,9.04238618524355
0,-121.632653061225,5.95918367346938,63.2967032967031
0.08125,-102.040816326531,7.79591836734693,22.6059654631083
0.1625,-87.3469387755104,21.7551020408163,171.805337519623
0.24375,-77.5510204081634,22.1224489795918,4.52119309262169
0.325,-43.2653061224492,29.1020408163265,85.9026687598117
0.40625,-13.8775510204082,35.7142857142857,81.3814756671898
0.4875,-8.97959183673493,41.5918367346939,72.3390894819467
0.56875,15.5102040816328,49.3061224489796,94.945054945055
0.65,40,49.3061224489796,0
0.73125,59.591836734694,55.1836734693878,72.3390894819466
0.8125,69.387755102041,64,108.50863422292
0.89375,84.0816326530612,66.9387755102041,36.1695447409733
0.975,113.469387755102,67.6734693877551,9.04238618524337
1.05625,137.959183673469,68.0408163265306,4.52119309262169
1.1375,162.448979591837,74.2857142857143,76.8602825745683
1.21875,167.34693877551,72.8163265306122,-18.0847723704867
1.3,186.938775510204,73.1836734693878,4.52119309262169
1.38125,216.326530612245,73.9183673469388,9.04238618524337
1.4625,240.816326530612,76.1224489795918,27.1271585557299
1.54375,265.30612244898,76.4897959183674,4.52119309262169
1.625,275.102040816327,77.2244897959184,9.04238618524337
1.70625,299.591836734694,77.2244897959184,0
1.7875,319.183673469388,79.4285714285714,27.1271585557299
1.86875,353.469387755102,80.8979591836735,18.0847723704866
1.95,373.061224489796,81.6326530612245,9.04238618524337
2.03125,377.959183673469,82.734693877551,13.5635792778651
2.1125,407.34693877551,84.5714285714286,22.6059654631083
2.19375,441.632653061224,88.2448979591837,45.2119309262167
2.275,480.816326530612,88.6122448979592,4.52119309262169
2.35625,515.102040816327,88.9795918367347,4.52119309262169
2.4375,520,88.6122448979592,-4.52119309262169
2.51875,539.591836734694,88.2448979591837,-4.52119309262169
2.6,564.081632653061,88.2448979591837,0
2.68125,588.571428571429,88.6122448979592,4.52119309262169
2.7625,622.857142857143,88.6122448979592,0
2.84375,622.857142857143,88.6122448979592,0
2.925,652.244897959184,92.6530612244898,49.7331240188382
3.00625,681.632653061224,92.2857142857143,-4.52119309262151
3.0875,715.918367346939,91.5510204081633,-9.04238618524337
3.16875,740.408163265306,88.6122448979592,-36.1695447409733
3.25,750.204081632653,88.2448979591837,-4.52119309262169
3.33125,774.693877551021,87.8775510204082,-4.52119309262169
3.4125,794.285714285714,83.4693877551021,-54.2543171114599
3.49375,813.877551020408,82.734693877551,-9.04238618524337
3.575,838.367346938775,80.1632653061224,-31.6483516483518
3.65625,848.163265306122,79.4285714285714,-9.0423861852432
3.7375,862.857142857143,78.6938775510204,-9.04238618524337
3.81875,882.448979591837,78.3265306122449,-4.52119309262169
3.9,906.938775510204,77.2244897959184,-13.5635792778649
3.98125,926.530612244898,74.2857142857143,-36.1695447409733
4.0625,931.428571428571,70.6122448979592,-45.2119309262167
4.14375,960.816326530612,69.8775510204082,-9.04238618524337
4.225,980.408163265306,69.8775510204082,0
4.30625,1004.89795918367,70.2448979591837,4.52119309262169
4.3875,1029.38775510204,71.3469387755102,13.5635792778651
4.46875,1039.18367346939,70.6122448979592,-9.04238618524337
4.55,1053.87755102041,71.7142857142857,13.5635792778651
4.63125,1078.36734693878,72.4489795918367,9.0423861852432
4.7125,1102.85714285714,72.8163265306122,4.52119309262169
4.79375,1132.24489795918,72.8163265306122,0
4.875,1137.14285714286,72.0816326530612,-9.04238618524337
4.95625,1151.83673469388,73.9183673469388,22.6059654631084
5.0375,1176.32653061224,73.9183673469388,0
5.11875,1205.71428571429,73.1836734693878,-9.04238618524337
5.2,1220.40816326531,70.9795918367347,-27.1271585557299
5.28125,1230.20408163265,70.9795918367347,0
5.3625,1254.69387755102,70.6122448979592,-4.52119309262169
5.44375,1274.28571428571,69.8775510204082,-9.04238618524337
5.525,1293.87755102041,69.8775510204082,0
5.60625,1313.4693877551,68.0408163265306,-22.6059654631083
5.6875,1328.16326530612,68.0408163265306,0
5.76875,1337.95918367347,68.0408163265306,0
5.85,1362.44897959184,66.9387755102041,-13.5635792778651
5.93125,1386.9387755102,66.9387755102041,0
6.0125,1401.63265306122,67.3061224489796,4.52119309262151
6.09375,1406.5306122449,65.1020408163265,-27.1271585557298
6.175,1431.02040816327,64.3673469387755,-9.04238618524337
6.25625,1445.71428571429,64.3673469387755,0
6.3375,1465.30612244898,62.530612244898,-22.6059654631083
6.41875,1484.89795918367,61.0612244897959,-18.0847723704867
6.5,1499.59183673469,62.530612244898,18.0847723704867
6.58125,1504.48979591837,62.1632653061225,-4.52119309262169
6.6625,1528.97959183673,60.3265306122449,-22.6059654631083
6.74375,1543.67346938776,60.3265306122449,0
6.825,1563.26530612245,57.7551020408163,-31.6483516483516
6.90625,1573.0612244898,57.0204081632653,-9.04238618524328
6.9875,1582.85714285714,57.3877551020408,4.5211930926216
7.06875,1626.9387755102,57.7551020408163,4.52119309262169
7.15,1617.14285714286,54.8163265306122,-36.1695447409733
7.23125,1636.73469387755,54.0816326530612,-9.04238618524337
7.3125,1641.63265306122,54.8163265306122,9.04238618524337
7.39375,1656.32653061224,54.4489795918367,-4.5211930926216
7.475,1666.12244897959,52.6122448979592,-22.6059654631083
7.55625,1690.61224489796,51.1428571428571,-18.0847723704867
7.6375,1710.20408163265,48.5714285714286,-31.6483516483516
7.71875,1715.10204081633,47.469387755102,-13.5635792778651
7.8,1729.79591836735,47.1020408163265,-4.52119309262169
7.88125,1739.59183673469,46.734693877551,-4.5211930926216
7.9625,1754.28571428571,46,-9.04238618524337
8.04375,1768.97959183673,45.265306122449,-9.04238618524328
8.125,1778.77551020408,44.8979591836735,-4.52119309262169
8.20625,1783.67346938776,44.530612244898,-4.5211930926216
8.2875,1803.26530612245,43.4285714285714,-13.5635792778651
8.36875,1813.0612244898,41.5918367346939,-22.6059654631083
8.45,1827.75510204082,41.5918367346939,0
8.53125,1832.65306122449,40.4897959183673,-13.5635792778651
8.6125,1837.55102040816,40.4897959183673,0
8.69375,1852.24489795918,39.3877551020408,-13.5635792778649
8.775,1862.04081632653,38.6530612244898,-9.04238618524337
8.85625,1876.73469387755,37.5510204081633,-13.563579277865
8.9375,1881.63265306122,37.5510204081633,0
9.01875,1886.5306122449,37.1836734693878,-4.52119309262177
9.1,1901.22448979592,35.7142857142857,-18.0847723704867
